Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Afghanistan,2020-03-20T14:43:04,24,0,1,33.9391,67.71
Bangladesh,2020-03-20T15:13:21,20,1,3,23.685,90.3563
Bhutan,2020-03-20T14:13:37,2,0,0,27.5142,90.4336
India,2020-03-20T15:13:21,244,5,20,20.5937,78.9629
Iran,2020-03-20T15:13:21,19644,1433,6745,32.4279,53.688
Iraq,2020-03-20T20:43:02,208,17,49,33.2232,43.6793
Malaysia,2020-03-20T18:13:09,1030,3,87,4.2105,101.9758
Maldives,2020-03-15T18:20:18,13,0,0,3.2028,73.2207
Nepal,2020-03-13T22:22:03,1,0,1,28.3949,84.124
Pakistan,2020-03-20T20:13:16,501,3,13,30.3753,69.3451
Saudi Arabia,2020-03-20T20:43:02,344,0,8,23.8859,45.0792
Sri Lanka,2020-03-20T16:13:11,73,0,3,7.8731,80.7718
United Arab Emirates,2020-03-20T23:13:09,140,2,31,23.4241,53.8478
